Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	63.292009
1	Clockticks	3532770000000
1	Instructions Retired	1011915000000
1	CPI Rate	3.491173
1	Retiring	8.5
2	Light Operations	6.1
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
5	128-bit FP Vector	0.0
5	256-bit FP Vector	0.0
5	512-bit FP Vector	0.0
3	Memory Operations	2.2
3	Fused Instructions	0.9
3	Non Fused Branches	0.2
3	Nop Instructions	0.0
3	Other	2.8
2	Heavy Operations	2.4
3	Few Uops Instructions	0.0
3	Microcode Sequencer	2.5
4	Assists	0.0
4	CISC	2.5
1	Front-End Bound	3.2
2	Front-End Latency	1.2
3	ICache Misses	0.0
3	ITLB Overhead	0.3
3	Branch Resteers	0.3
4	Mispredicts Resteers	0.0
4	Clears Resteers	0.3
4	Unknown Branches	0.0
3	DSB Switches	7.5
3	Length Changing Prefixes	0.0
3	MS Switches	3.4
2	Front-End Bandwidth	2.0
3	Front-End Bandwidth MITE	3.8
4	Decoder-0 Alone	1.5
3	Front-End Bandwidth DSB	0.3
3	(Info) DSB Coverage	23.1
3	(Info) DSB Misses	100.0
1	Bad Speculation	1.9
2	Branch Mispredict	0.0
2	Machine Clears	1.9
1	Back-End Bound	86.4
2	Memory Bound	76.2
3	L1 Bound	63.6
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	0.3
4	Loads Blocked by Store Forwarding	0.0
4	Lock Latency	19.3
4	Split Loads	0.0
4	4K Aliasing	0.0
4	FB Full	0.0
3	L2 Bound	0.0
3	L3 Bound	13.6
4	Contested Accesses	0.2
4	Data Sharing	7.6
4	L3 Latency	1.1
4	SQ Full	0.0
3	DRAM Bound	1.5
4	Memory Bandwidth	0.2
4	Memory Latency	23.6
5	Local DRAM	0.2
5	Remote DRAM	0.0
5	Remote Cache	0.0
3	Store Bound	0.2
4	Store Latency	45.3
4	False Sharing	7.2
4	Split Stores	0.0
4	DTLB Store Overhead	0.0
5	Store STLB Hit	0.0
5	Store STLB Miss	0.0
2	Core Bound	10.2
3	Divider	0.0
3	Port Utilization	6.7
4	Cycles of 0 Ports Utilized	42.9
5	Serializing Operations	5.1
6	Slow Pause	0.0
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	3.5
4	Cycles of 2 Ports Utilized	2.8
4	Cycles of 3+ Ports Utilized	3.1
5	ALU Operation Utilization	7.0
6	Port 0	5.9
6	Port 1	5.4
6	Port 5	4.9
6	Port 6	11.6
5	Load Operation Utilization	5.1
6	Port 2	6.7
6	Port 3	6.6
5	Store Operation Utilization	4.2
6	Port 4	4.2
6	Port 7	1.2
4	Vector Capacity Usage (FPU)	0.0
1	Average CPU Frequency	3576644704.695106
1	Total Thread Count	115
1	Paused Time	0.0
0	Effective Physical Core Utilization	32.0% (15.352 out of 48)
1	Effective Logical Core Utilization	16.3% (15.605 out of 96)
0	Collection and Platform Info	
1	Operating System	5.15.0-84-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.6 LTS"
1	Computer Name	xacchead
1	Result Size	120323426
1	Collection start time	07:50:06 17/11/2024 UTC
1	Collection stop time	07:51:09 17/11/2024 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Cascadelake
2	Frequency	3000006078
2	Logical CPU Count	96
2	LLC size	37486592
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
