Hierarchy Level	Metric Name	Metric Value
0	Elapsed Time	55.568570
1	Clockticks	2446635000000
1	Instructions Retired	1160910000000
1	CPI Rate	2.107515
1	Retiring	14.5
2	Light Operations	11.0
3	FP Arithmetic	0.0
4	FP x87	0.0
4	FP Scalar	0.0
4	FP Vector	0.0
5	128-bit FP Vector	0.0
5	256-bit FP Vector	0.0
5	512-bit FP Vector	0.0
3	Memory Operations	4.6
3	Fused Instructions	1.2
3	Non Fused Branches	0.8
3	Nop Instructions	0.1
3	Other	4.4
2	Heavy Operations	3.5
3	Few Uops Instructions	1.6
3	Microcode Sequencer	1.9
4	Assists	0.0
4	CISC	1.9
1	Front-End Bound	4.2
2	Front-End Latency	1.4
3	ICache Misses	0.0
3	ITLB Overhead	2.4
3	Branch Resteers	0.2
4	Mispredicts Resteers	0.0
4	Clears Resteers	0.2
4	Unknown Branches	0.1
3	DSB Switches	8.3
3	Length Changing Prefixes	0.0
3	MS Switches	1.5
2	Front-End Bandwidth	2.8
3	Front-End Bandwidth MITE	3.6
4	Decoder-0 Alone	1.2
3	Front-End Bandwidth DSB	0.9
3	(Info) DSB Coverage	38.1
3	(Info) DSB Misses	100.0
1	Bad Speculation	1.3
2	Branch Mispredict	0.0
2	Machine Clears	1.3
1	Back-End Bound	80.0
2	Memory Bound	56.6
3	L1 Bound	12.3
4	DTLB Overhead	100.0
5	Load STLB Hit	100.0
5	Load STLB Miss	6.7
4	Loads Blocked by Store Forwarding	0.2
4	Lock Latency	0.2
4	Split Loads	0.0
4	4K Aliasing	0.2
4	FB Full	10.3
3	L2 Bound	0.4
3	L3 Bound	29.4
4	Contested Accesses	4.1
4	Data Sharing	0.0
4	L3 Latency	7.8
4	SQ Full	0.0
3	DRAM Bound	13.7
4	Memory Bandwidth	6.1
4	Memory Latency	48.8
5	Local DRAM	4.1
5	Remote DRAM	1.9
5	Remote Cache	0.0
3	Store Bound	9.6
4	Store Latency	41.3
4	False Sharing	4.2
4	Split Stores	0.0
4	DTLB Store Overhead	0.8
5	Store STLB Hit	0.4
5	Store STLB Miss	0.5
2	Core Bound	23.4
3	Divider	0.0
3	Port Utilization	7.5
4	Cycles of 0 Ports Utilized	42.5
5	Serializing Operations	34.5
6	Slow Pause	0.0
5	Mixing Vectors	0.0
4	Cycles of 1 Port Utilized	3.5
4	Cycles of 2 Ports Utilized	3.7
4	Cycles of 3+ Ports Utilized	6.4
5	ALU Operation Utilization	9.4
6	Port 0	7.0
6	Port 1	7.1
6	Port 5	8.4
6	Port 6	15.0
5	Load Operation Utilization	7.7
6	Port 2	10.0
6	Port 3	9.9
5	Store Operation Utilization	9.7
6	Port 4	9.7
6	Port 7	5.2
4	Vector Capacity Usage (FPU)	0.0
1	Average CPU Frequency	3516171385.672942
1	Total Thread Count	114
1	Paused Time	0.0
0	Effective Physical Core Utilization	24.6% (11.807 out of 48)
1	Effective Logical Core Utilization	13.0% (12.517 out of 96)
0	Collection and Platform Info	
1	Operating System	5.15.0-84-generic DISTRIB_ID=Ubuntu DISTRIB_RELEASE=20.04 DISTRIB_CODENAME=focal DISTRIB_DESCRIPTION="Ubuntu 20.04.6 LTS"
1	Computer Name	xacchead
1	Result Size	116806820
1	Collection start time	07:56:24 14/11/2024 UTC
1	Collection stop time	07:57:20 14/11/2024 UTC
1	Collector Type	Driverless Perf system-wide sampling
1	CPU	
2	Name	Intel(R) Xeon(R) Processor code named Cascadelake
2	Frequency	3000006075
2	Logical CPU Count	96
2	LLC size	37486592
2	Cache Allocation Technology	
3	Level 2 capability	not detected
3	Level 3 capability	available
